Cuenca;Estación;Fecha;Hora;Lluvia (mm)
84;193;15/08/2008;400;0.0
84;193;15/08/2008;500;0.0
84;193;15/08/2008;600;0.0
84;193;15/08/2008;700;0.0
84;193;15/08/2008;800;0.0
84;193;15/08/2008;900;0.0
84;193;15/08/2008;1000;0.0
84;193;15/08/2008;1100;0.0
84;193;15/08/2008;1200;0.0
84;193;15/08/2008;1300;0.0
84;193;15/08/2008;1400;0.0
84;193;15/08/2008;1500;12.7
84;193;15/08/2008;1600;2.1
84;193;15/08/2008;1700;0.0
84;193;15/08/2008;1800;0.0
84;193;15/08/2008;1900;0.0
84;193;15/08/2008;2000;0.0
84;193;15/08/2008;2100;0.0
84;193;15/08/2008;2200;0.0
84;193;15/08/2008;2300;0.0
84;193;15/08/2008;2400;0.0
84;193;16/08/2008;100;0.0
84;193;16/08/2008;200;0.0
84;193;16/08/2008;300;0.0
84;193;16/08/2008;400;0.0
84;193;16/08/2008;500;0.0
84;193;16/08/2008;600;0.0
84;193;16/08/2008;700;0.0
84;193;16/08/2008;800;0.0
84;193;16/08/2008;900;0.0
84;193;16/08/2008;1000;0.0
84;193;16/08/2008;1100;0.0
84;193;16/08/2008;1200;0.0
84;193;16/08/2008;1300;0.0
84;193;16/08/2008;1400;2.4
84;193;16/08/2008;1500;0.3
84;193;16/08/2008;1600;0.2
84;193;16/08/2008;1700;0.4
84;193;16/08/2008;1800;2.4
84;193;16/08/2008;1900;0.0
84;193;16/08/2008;2000;0.0
84;193;16/08/2008;2100;0.0
84;193;16/08/2008;2200;0.0
84;193;16/08/2008;2300;0.0
84;193;16/08/2008;2400;0.0
84;193;17/08/2008;100;0.0
84;193;17/08/2008;200;0.0
84;193;17/08/2008;300;0.0
84;193;17/08/2008;400;0.0
84;193;17/08/2008;500;0.0
84;193;17/08/2008;600;0.0
84;193;17/08/2008;700;0.1
84;193;17/08/2008;800;0.0
84;193;17/08/2008;900;0.0
84;193;17/08/2008;1000;0.0
84;193;17/08/2008;1100;0.0
84;193;17/08/2008;1200;0.0
84;193;17/08/2008;1300;4.8
84;193;17/08/2008;1400;9.6
84;193;17/08/2008;1500;0.0
84;193;17/08/2008;1600;0.9
84;193;17/08/2008;1700;10.3
84;193;17/08/2008;1800;6.6
84;193;17/08/2008;1900;3.3
84;193;17/08/2008;2000;0.6
84;193;17/08/2008;2100;0.0
84;193;17/08/2008;2200;0.2
84;193;17/08/2008;2300;0.0
84;193;17/08/2008;2400;0.0
84;193;18/08/2008;100;0.0
84;193;18/08/2008;200;0.0
84;193;18/08/2008;300;0.0
84;193;18/08/2008;400;0.0
84;193;18/08/2008;500;0.0
84;193;18/08/2008;600;0.0
84;193;18/08/2008;700;0.0
84;193;18/08/2008;800;0.0
84;193;18/08/2008;900;0.0
84;193;18/08/2008;1000;0.0
84;193;18/08/2008;1100;0.0
84;193;18/08/2008;1200;0.0
84;193;18/08/2008;1300;0.0
84;193;18/08/2008;1400;14.9
84;193;18/08/2008;1500;0.0
84;193;18/08/2008;1600;16.0
84;193;18/08/2008;1700;20.4
84;193;18/08/2008;1800;6.4
84;193;18/08/2008;1900;1.9
84;193;18/08/2008;2000;1.1
84;193;18/08/2008;2100;0.2
84;193;18/08/2008;2200;0.1
84;193;18/08/2008;2300;0.1
84;193;18/08/2008;2400;0.0
84;193;19/08/2008;100;0.0
84;193;19/08/2008;200;0.0
84;193;19/08/2008;300;0.0
84;193;19/08/2008;400;0.0
84;193;19/08/2008;500;0.0
84;193;19/08/2008;600;0.0
84;193;19/08/2008;700;0.0
84;193;19/08/2008;800;0.0
84;193;19/08/2008;900;0.0
84;193;19/08/2008;1000;0.0
84;193;19/08/2008;1100;0.0
84;193;19/08/2008;1200;0.0
84;193;19/08/2008;1300;0.0
84;193;19/08/2008;1400;0.0
84;193;19/08/2008;1500;0.0
84;193;19/08/2008;1600;4.2
84;193;19/08/2008;1700;0.6
84;193;19/08/2008;1800;1.8
84;193;19/08/2008;1900;0.0
84;193;19/08/2008;2000;0.0
84;193;19/08/2008;2100;0.0
84;193;19/08/2008;2200;0.0
84;193;19/08/2008;2300;0.0
84;193;19/08/2008;2400;0.0
84;193;20/08/2008;100;0.0
84;193;20/08/2008;200;0.0
84;193;20/08/2008;300;0.0
84;193;20/08/2008;400;0.0
84;193;20/08/2008;500;0.0
84;193;20/08/2008;600;0.0
84;193;20/08/2008;700;0.0
84;193;20/08/2008;800;0.0
84;193;20/08/2008;900;0.0
84;193;20/08/2008;1000;0.0
84;193;20/08/2008;1100;0.0
84;193;20/08/2008;1200;0.0
84;193;20/08/2008;1300;0.0
84;193;20/08/2008;1400;0.1
84;193;20/08/2008;1500;0.0
84;193;20/08/2008;1600;0.0
84;193;20/08/2008;1700;0.0
84;193;20/08/2008;1800;0.6
84;193;20/08/2008;1900;0.7
84;193;20/08/2008;2000;0.0
84;193;20/08/2008;2100;0.1
84;193;20/08/2008;2200;0.0
84;193;20/08/2008;2300;0.0
84;193;20/08/2008;2400;0.0
84;193;21/08/2008;100;0.0
84;193;21/08/2008;200;0.0
84;193;21/08/2008;300;0.0
