Cuenca;Estación;Fecha;Hora;Humedad (%)
84;193;13/02/2016;1800;64
84;193;13/02/2016;1900;68
84;193;13/02/2016;2000;70
84;193;13/02/2016;2100;72
84;193;13/02/2016;2200;70
84;193;13/02/2016;2300;69
84;193;13/02/2016;2400;67
84;193;14/02/2016;100;66
84;193;14/02/2016;200;63
84;193;14/02/2016;300;69
84;193;14/02/2016;400;66
84;193;14/02/2016;500;67
84;193;14/02/2016;600;70
84;193;14/02/2016;700;70
84;193;14/02/2016;800;64
84;193;14/02/2016;900;56
84;193;14/02/2016;1000;58
84;193;14/02/2016;1100;56
84;193;14/02/2016;1200;54
84;193;14/02/2016;1300;53
84;193;14/02/2016;1400;53
84;193;14/02/2016;1500;56
84;193;14/02/2016;1600;57
84;193;14/02/2016;1700;61
84;193;14/02/2016;1800;67
84;193;14/02/2016;1900;72
84;193;14/02/2016;2000;72
84;193;14/02/2016;2100;74
84;193;14/02/2016;2200;73
84;193;14/02/2016;2300;73
84;193;14/02/2016;2400;72
84;193;15/02/2016;100;77
84;193;15/02/2016;200;76
84;193;15/02/2016;300;74
84;193;15/02/2016;400;74
84;193;15/02/2016;500;72
84;193;15/02/2016;600;70
84;193;15/02/2016;700;69
84;193;15/02/2016;800;65
84;193;15/02/2016;900;57
84;193;15/02/2016;1000;51
84;193;15/02/2016;1100;51
84;193;15/02/2016;1200;50
84;193;15/02/2016;1300;49
84;193;15/02/2016;1400;47
84;193;15/02/2016;1500;51
84;193;15/02/2016;1600;56
84;193;15/02/2016;1700;62
84;193;15/02/2016;1800;69
84;193;15/02/2016;1900;74
84;193;15/02/2016;2000;75
84;193;15/02/2016;2100;77
84;193;15/02/2016;2200;77
84;193;15/02/2016;2300;78
84;193;15/02/2016;2400;78
84;193;16/02/2016;100;78
84;193;16/02/2016;200;78
84;193;16/02/2016;300;76
84;193;16/02/2016;400;71
84;193;16/02/2016;500;71
84;193;16/02/2016;600;69
84;193;16/02/2016;700;66
84;193;16/02/2016;800;60
84;193;16/02/2016;900;55
84;193;16/02/2016;1000;56
84;193;16/02/2016;1100;52
84;193;16/02/2016;1200;49
84;193;16/02/2016;1300;49
84;193;16/02/2016;1400;49
84;193;16/02/2016;1500;50
84;193;16/02/2016;1600;53
84;193;16/02/2016;1700;54
84;193;16/02/2016;1800;61
84;193;16/02/2016;1900;68
84;193;16/02/2016;2000;73
84;193;16/02/2016;2100;73
84;193;16/02/2016;2200;72
84;193;16/02/2016;2300;72
84;193;16/02/2016;2400;75
84;193;17/02/2016;100;76
84;193;17/02/2016;200;73
84;193;17/02/2016;300;74
84;193;17/02/2016;400;74
84;193;17/02/2016;500;75
84;193;17/02/2016;600;74
84;193;17/02/2016;700;73
84;193;17/02/2016;800;67
84;193;17/02/2016;900;61
84;193;17/02/2016;1000;57
84;193;17/02/2016;1100;52
84;193;17/02/2016;1200;50
84;193;17/02/2016;1300;48
84;193;17/02/2016;1400;48
84;193;17/02/2016;1500;49
84;193;17/02/2016;1600;54
84;193;17/02/2016;1700;61
84;193;17/02/2016;1800;64
84;193;17/02/2016;1900;71
84;193;17/02/2016;2000;72
84;193;17/02/2016;2100;73
84;193;17/02/2016;2200;71
84;193;17/02/2016;2300;73
84;193;17/02/2016;2400;72
84;193;18/02/2016;100;72
84;193;18/02/2016;200;71
84;193;18/02/2016;300;70
84;193;18/02/2016;400;70
84;193;18/02/2016;500;70
84;193;18/02/2016;600;71
84;193;18/02/2016;700;68
84;193;18/02/2016;800;68
84;193;18/02/2016;900;62
84;193;18/02/2016;1000;59
84;193;18/02/2016;1100;56
84;193;18/02/2016;1200;54
84;193;18/02/2016;1300;54
84;193;18/02/2016;1400;51
84;193;18/02/2016;1500;53
84;193;18/02/2016;1600;57
84;193;18/02/2016;1700;61
84;193;18/02/2016;1800;64
84;193;18/02/2016;1900;65
84;193;18/02/2016;2000;68
84;193;18/02/2016;2100;70
84;193;18/02/2016;2200;68
84;193;18/02/2016;2300;66
84;193;18/02/2016;2400;68
84;193;19/02/2016;100;68
84;193;19/02/2016;200;70
84;193;19/02/2016;300;71
84;193;19/02/2016;400;72
84;193;19/02/2016;500;71
84;193;19/02/2016;600;69
84;193;19/02/2016;700;67
84;193;19/02/2016;800;62
84;193;19/02/2016;900;55
84;193;19/02/2016;1000;52
84;193;19/02/2016;1100;51
84;193;19/02/2016;1200;54
84;193;19/02/2016;1300;52
84;193;19/02/2016;1400;50
84;193;19/02/2016;1500;52
84;193;19/02/2016;1600;57
84;193;19/02/2016;1700;59
84;193;19/02/2016;1800;63
84;193;19/02/2016;1900;70
84;193;19/02/2016;2000;70
84;193;19/02/2016;2100;68
84;193;19/02/2016;2200;66
84;193;19/02/2016;2300;69
84;193;19/02/2016;2400;65
84;193;20/02/2016;100;65
84;193;20/02/2016;200;62
84;193;20/02/2016;300;55
84;193;20/02/2016;400;59
84;193;20/02/2016;500;59
84;193;20/02/2016;600;51
84;193;20/02/2016;700;51
84;193;20/02/2016;800;51
84;193;20/02/2016;900;48
84;193;20/02/2016;1000;45
84;193;20/02/2016;1100;46
84;193;20/02/2016;1200;51
84;193;20/02/2016;1300;56
84;193;20/02/2016;1400;57
84;193;20/02/2016;1500;57
84;193;20/02/2016;1600;59
84;193;20/02/2016;1700;67
84;193;20/02/2016;1800;66
84;193;20/02/2016;1900;64
84;193;20/02/2016;2000;65
84;193;20/02/2016;2100;64
84;193;20/02/2016;2200;65
84;193;20/02/2016;2300;66
84;193;20/02/2016;2400;66
84;193;21/02/2016;100;67
84;193;21/02/2016;200;71
84;193;21/02/2016;300;66
84;193;21/02/2016;400;66
84;193;21/02/2016;500;63
84;193;21/02/2016;600;59
84;193;21/02/2016;700;55
84;193;21/02/2016;800;51
84;193;21/02/2016;900;52
84;193;21/02/2016;1000;50
84;193;21/02/2016;1100;51
84;193;21/02/2016;1200;49
84;193;21/02/2016;1300;48
84;193;21/02/2016;1400;48
84;193;21/02/2016;1500;48
84;193;21/02/2016;1600;51
84;193;21/02/2016;1700;57
84;193;21/02/2016;1800;66
84;193;21/02/2016;1900;72
84;193;21/02/2016;2000;72
84;193;21/02/2016;2100;74
84;193;21/02/2016;2200;71
84;193;21/02/2016;2300;66
84;193;21/02/2016;2400;64
84;193;22/02/2016;100;66
84;193;22/02/2016;200;69
84;193;22/02/2016;300;70
84;193;22/02/2016;400;69
84;193;22/02/2016;500;69
84;193;22/02/2016;600;68
84;193;22/02/2016;700;65
84;193;22/02/2016;800;60
84;193;22/02/2016;900;52
84;193;22/02/2016;1000;45
84;193;22/02/2016;1100;41
84;193;22/02/2016;1200;45
84;193;22/02/2016;1300;45
84;193;22/02/2016;1400;42
84;193;22/02/2016;1500;44
84;193;22/02/2016;1600;46
84;193;22/02/2016;1700;52
84;193;22/02/2016;1800;58
84;193;22/02/2016;1900;66
84;193;22/02/2016;2000;69
84;193;22/02/2016;2100;71
84;193;22/02/2016;2200;70
84;193;22/02/2016;2300;73
84;193;22/02/2016;2400;72
84;193;23/02/2016;100;70
84;193;23/02/2016;200;66
84;193;23/02/2016;300;66
84;193;23/02/2016;400;66
84;193;23/02/2016;500;68
84;193;23/02/2016;600;69
84;193;23/02/2016;700;68
84;193;23/02/2016;800;61
84;193;23/02/2016;900;55
84;193;23/02/2016;1000;49
84;193;23/02/2016;1100;45
84;193;23/02/2016;1200;40
84;193;23/02/2016;1300;39
84;193;23/02/2016;1400;45
84;193;23/02/2016;1500;51
84;193;23/02/2016;1600;61
84;193;23/02/2016;1700;64
84;193;23/02/2016;1800;65
84;193;23/02/2016;1900;70
84;193;23/02/2016;2000;72
84;193;23/02/2016;2100;74
84;193;23/02/2016;2200;76
84;193;23/02/2016;2300;73
84;193;23/02/2016;2400;73
84;193;24/02/2016;100;72
84;193;24/02/2016;200;72
84;193;24/02/2016;300;74
84;193;24/02/2016;400;75
84;193;24/02/2016;500;75
84;193;24/02/2016;600;76
84;193;24/02/2016;700;67
84;193;24/02/2016;800;48
84;193;24/02/2016;900;39
84;193;24/02/2016;1000;32
84;193;24/02/2016;1100;30
84;193;24/02/2016;1200;36
84;193;24/02/2016;1300;44
84;193;24/02/2016;1400;46
84;193;24/02/2016;1500;49
84;193;24/02/2016;1600;53
84;193;24/02/2016;1700;62
84;193;24/02/2016;1800;67
84;193;24/02/2016;1900;71
84;193;24/02/2016;2000;70
84;193;24/02/2016;2100;73
84;193;24/02/2016;2200;72
84;193;24/02/2016;2300;72
84;193;24/02/2016;2400;71
84;193;25/02/2016;100;71
84;193;25/02/2016;200;70
84;193;25/02/2016;300;68
84;193;25/02/2016;400;65
84;193;25/02/2016;500;60
84;193;25/02/2016;600;60
84;193;25/02/2016;700;64
84;193;25/02/2016;800;58
84;193;25/02/2016;900;48
84;193;25/02/2016;1000;45
84;193;25/02/2016;1100;44
84;193;25/02/2016;1200;39
84;193;25/02/2016;1300;37
84;193;25/02/2016;1400;43
84;193;25/02/2016;1500;46
84;193;25/02/2016;1600;51
84;193;25/02/2016;1700;53
84;193;25/02/2016;1800;62
84;193;25/02/2016;1900;64
84;193;25/02/2016;2000;64
84;193;25/02/2016;2100;63
84;193;25/02/2016;2200;65
84;193;25/02/2016;2300;67
84;193;25/02/2016;2400;66
84;193;26/02/2016;100;70
84;193;26/02/2016;200;71
84;193;26/02/2016;300;71
84;193;26/02/2016;400;72
84;193;26/02/2016;500;74
84;193;26/02/2016;600;73
84;193;26/02/2016;700;70
84;193;26/02/2016;800;70
84;193;26/02/2016;900;64
84;193;26/02/2016;1000;63
84;193;26/02/2016;1100;59
84;193;26/02/2016;1200;52
84;193;26/02/2016;1300;55
84;193;26/02/2016;1400;56
84;193;26/02/2016;1500;56
84;193;26/02/2016;1600;60
84;193;26/02/2016;1700;64
84;193;26/02/2016;1800;70
84;193;26/02/2016;1900;72
84;193;26/02/2016;2000;70
84;193;26/02/2016;2100;71
84;193;26/02/2016;2200;72
84;193;26/02/2016;2300;73
84;193;26/02/2016;2400;72
84;193;27/02/2016;100;69
84;193;27/02/2016;200;68
84;193;27/02/2016;300;68
84;193;27/02/2016;400;63
84;193;27/02/2016;500;66
84;193;27/02/2016;600;71
84;193;27/02/2016;700;69
84;193;27/02/2016;800;60
84;193;27/02/2016;900;50
84;193;27/02/2016;1000;48
84;193;27/02/2016;1100;46
84;193;27/02/2016;1200;48
84;193;27/02/2016;1300;55
84;193;27/02/2016;1400;54
84;193;27/02/2016;1500;54
84;193;27/02/2016;1600;52
84;193;27/02/2016;1700;52
84;193;27/02/2016;1800;59
84;193;27/02/2016;1900;64
84;193;27/02/2016;2000;67
84;193;27/02/2016;2100;69
84;193;27/02/2016;2200;69
84;193;27/02/2016;2300;69
84;193;27/02/2016;2400;64
84;193;28/02/2016;100;71
84;193;28/02/2016;200;71
84;193;28/02/2016;300;70
84;193;28/02/2016;400;75
84;193;28/02/2016;500;75
84;193;28/02/2016;600;73
84;193;28/02/2016;700;70
84;193;28/02/2016;800;67
84;193;28/02/2016;900;67
84;193;28/02/2016;1000;59
84;193;28/02/2016;1100;55
84;193;28/02/2016;1200;57
84;193;28/02/2016;1300;57
84;193;28/02/2016;1400;59
84;193;28/02/2016;1500;59
84;193;28/02/2016;1600;60
84;193;28/02/2016;1700;64
84;193;28/02/2016;1800;71
84;193;28/02/2016;1900;74
84;193;28/02/2016;2000;73
84;193;28/02/2016;2100;69
84;193;28/02/2016;2200;70
84;193;28/02/2016;2300;70
84;193;28/02/2016;2400;67
84;193;29/02/2016;100;61
84;193;29/02/2016;200;60
84;193;29/02/2016;300;64
84;193;29/02/2016;400;67
84;193;29/02/2016;500;68
84;193;29/02/2016;600;70
84;193;29/02/2016;700;68
84;193;29/02/2016;800;59
84;193;29/02/2016;900;55
84;193;29/02/2016;1000;52
84;193;29/02/2016;1100;50
84;193;29/02/2016;1200;47
84;193;29/02/2016;1300;46
84;193;29/02/2016;1400;47
84;193;29/02/2016;1500;54
84;193;29/02/2016;1600;56
84;193;29/02/2016;1700;63
84;193;29/02/2016;1800;66
84;193;29/02/2016;1900;72
84;193;29/02/2016;2000;75
84;193;29/02/2016;2100;72
84;193;29/02/2016;2200;75
84;193;29/02/2016;2300;76
84;193;29/02/2016;2400;73
84;193;01/03/2016;100;75
84;193;01/03/2016;200;77
84;193;01/03/2016;300;76
84;193;01/03/2016;400;77
84;193;01/03/2016;500;77
84;193;01/03/2016;600;77
84;193;01/03/2016;700;76
84;193;01/03/2016;800;66
84;193;01/03/2016;900;58
84;193;01/03/2016;1000;50
84;193;01/03/2016;1100;49
84;193;01/03/2016;1200;48
84;193;01/03/2016;1300;50
84;193;01/03/2016;1400;50
84;193;01/03/2016;1500;50
84;193;01/03/2016;1600;53
84;193;01/03/2016;1700;56
84;193;01/03/2016;1800;61
84;193;01/03/2016;1900;64
84;193;01/03/2016;2000;67
84;193;01/03/2016;2100;69
84;193;01/03/2016;2200;71
84;193;01/03/2016;2300;71
84;193;01/03/2016;2400;70
84;193;02/03/2016;100;69
84;193;02/03/2016;200;70
84;193;02/03/2016;300;72
84;193;02/03/2016;400;71
84;193;02/03/2016;500;71
84;193;02/03/2016;600;71
84;193;02/03/2016;700;69
84;193;02/03/2016;800;64
84;193;02/03/2016;900;55
84;193;02/03/2016;1000;49
84;193;02/03/2016;1100;44
84;193;02/03/2016;1200;46
84;193;02/03/2016;1300;49
84;193;02/03/2016;1400;52
84;193;02/03/2016;1500;53
84;193;02/03/2016;1600;54
84;193;02/03/2016;1700;62
84;193;02/03/2016;1800;69
84;193;02/03/2016;1900;69
84;193;02/03/2016;2000;73
84;193;02/03/2016;2100;76
84;193;02/03/2016;2200;76
84;193;02/03/2016;2300;73
84;193;02/03/2016;2400;75
84;193;03/03/2016;100;77
84;193;03/03/2016;200;73
84;193;03/03/2016;300;71
84;193;03/03/2016;400;72
84;193;03/03/2016;500;77
84;193;03/03/2016;600;78
84;193;03/03/2016;700;64
84;193;03/03/2016;800;57
84;193;03/03/2016;900;50
84;193;03/03/2016;1000;49
84;193;03/03/2016;1100;45
84;193;03/03/2016;1200;44
84;193;03/03/2016;1300;43
84;193;03/03/2016;1400;42
84;193;03/03/2016;1500;45
84;193;03/03/2016;1600;49
84;193;03/03/2016;1700;52
84;193;03/03/2016;1800;60
84;193;03/03/2016;1900;65
84;193;03/03/2016;2000;67
84;193;03/03/2016;2100;67
84;193;03/03/2016;2200;66
84;193;03/03/2016;2300;67
84;193;03/03/2016;2400;66
